Date,Close
12/02/2016,8602
13/02/2016,8552
14/02/2016,8577
15/02/2016,8527
16/02/2016,8572
17/02/2016,8522
18/02/2016,8722
19/02/2016,8672
20/02/2016,8622
21/02/2016,8572
22/02/2016,8522
23/02/2016,8672
24/02/2016,8705
25/02/2016,8655
26/02/2016,8605
27/02/2016,8905
28/02/2016,9030
29/02/2016,8980
01/03/2016,9013
02/03/2016,8963
03/03/2016,9163
04/03/2016,9113
05/03/2016,9063
06/03/2016,9013
07/03/2016,8963
08/03/2016,9032
09/03/2016,8982
10/03/2016,8932
11/03/2016,8882
12/03/2016,9582
13/03/2016,9532
14/03/2016,9482
15/03/2016,9432
16/03/2016,9382
17/03/2016,9332
18/03/2016,9282
19/03/2016,9232
20/03/2016,9182
21/03/2016,9132
22/03/2016,9168
23/03/2016,9118
24/03/2016,9068
25/03/2016,9218
26/03/2016,9168
27/03/2016,9118
28/03/2016,9068
29/03/2016,9018
30/03/2016,8968
31/03/2016,8918
01/04/2016,8868
02/04/2016,8818
03/04/2016,8768
04/04/2016,8718
05/04/2016,8806
06/04/2016,8944
07/04/2016,8894
08/04/2016,8844
09/04/2016,8794
10/04/2016,8744
11/04/2016,8857
13/04/2016,8807
14/04/2016,8757
15/04/2016,8707
16/04/2016,8820
17/04/2016,8770
18/04/2016,8720
19/04/2016,8670
20/04/2016,8770
21/04/2016,8720
22/04/2016,8895
23/04/2016,8845
24/04/2016,8995
25/04/2016,8945
26/04/2016,9545
27/04/2016,9495
28/04/2016,9445
29/04/2016,9558
30/04/2016,9508
01/05/2016,9458
02/05/2016,9408
03/05/2016,9358
04/05/2016,9308
05/05/2016,9383
06/05/2016,9333
07/05/2016,9283
08/05/2016,9233
09/05/2016,9183
11/05/2016,9133
13/05/2016,9227
14/05/2016,9177
15/05/2016,9210
16/05/2016,9160
17/05/2016,9110
18/05/2016,9060
19/05/2016,9010
20/05/2016,8960
21/05/2016,9160
22/05/2016,9110
23/05/2016,9060
24/05/2016,9129
25/05/2016,9079
26/05/2016,9029
27/05/2016,8979
28/05/2016,8929
29/05/2016,8879
30/05/2016,8829
31/05/2016,8779
01/06/2016,8729
02/06/2016,8679
03/06/2016,8629
04/06/2016,8579
05/06/2016,8529
06/06/2016,8617
07/06/2016,8662
08/06/2016,8712
09/06/2016,8662
10/06/2016,8725
11/06/2016,8675
12/06/2016,8625
14/06/2016,8575
15/06/2016,8525
16/06/2016,8475
17/06/2016,8563
18/06/2016,8513
19/06/2016,8463
21/06/2016,8413
22/06/2016,8363
23/06/2016,8463
24/06/2016,8413
25/06/2016,8551
26/06/2016,8501
27/06/2016,8451
28/06/2016,8401
29/06/2016,8351
30/06/2016,8601
01/07/2016,8551
02/07/2016,8876
03/07/2016,8826
04/07/2016,8926
05/07/2016,9226
06/07/2016,9176
08/07/2016,9126
09/07/2016,9076
10/07/2016,9026
12/07/2016,8976
13/07/2016,8926
14/07/2016,8876
15/07/2016,8951
16/07/2016,8901
17/07/2016,8851
18/07/2016,8801
19/07/2016,8882
20/07/2016,8832
22/07/2016,8782
23/07/2016,8732
24/07/2016,8682
25/07/2016,8632
26/07/2016,8582
27/07/2016,8532
28/07/2016,8482
29/07/2016,8595
30/07/2016,8545
31/07/2016,8495
01/08/2016,8445
02/08/2016,8395
03/08/2016,8345
04/08/2016,8295
06/08/2016,8245
07/08/2016,8345
08/08/2016,8295
09/08/2016,8245
10/08/2016,8195
11/08/2016,8258
12/08/2016,8433
13/08/2016,8478
14/08/2016,8428
15/08/2016,8378
16/08/2016,8447
17/08/2016,8397
18/08/2016,8347
19/08/2016,8297
20/08/2016,8357
21/08/2016,8307
22/08/2016,8257
23/08/2016,8338
24/08/2016,8288
25/08/2016,8238
27/08/2016,8538
28/08/2016,8488
29/08/2016,8438
30/08/2016,8388
31/08/2016,8338
01/09/2016,8288
02/09/2016,8488
03/09/2016,8438
05/09/2016,8388
06/09/2016,8338
08/09/2016,8288
09/09/2016,8238
10/09/2016,8405
11/09/2016,8355
12/09/2016,8455
14/09/2016,8605
15/09/2016,8555
16/09/2016,8505
17/09/2016,8455
18/09/2016,8405
19/09/2016,8355
20/09/2016,8305
21/09/2016,8255
23/09/2016,8205
24/09/2016,8265
25/09/2016,8215
26/09/2016,8465
27/09/2016,8415
28/09/2016,8365
29/09/2016,8465
30/09/2016,8415
01/10/2016,8665
02/10/2016,8615
03/10/2016,8670
04/10/2016,8820
05/10/2016,8770
06/10/2016,8720
07/10/2016,8670
08/10/2016,8620
09/10/2016,8820
10/10/2016,8770
11/10/2016,8720
12/10/2016,8670
13/10/2016,8620
14/10/2016,8570
15/10/2016,8520
16/10/2016,8620
17/10/2016,8570
18/10/2016,8520
19/10/2016,8595
20/10/2016,8545
21/10/2016,8495
22/10/2016,8445
24/10/2016,8395
25/10/2016,8345
26/10/2016,8295
27/10/2016,8395
28/10/2016,8345
29/10/2016,8445
30/10/2016,8395
31/10/2016,8345
01/11/2016,8295
03/11/2016,8245
04/11/2016,8195
05/11/2016,8145
07/11/2016,8095
08/11/2016,8045
09/11/2016,7995
10/11/2016,8320
11/11/2016,8487
12/11/2016,8437
13/11/2016,8387
14/11/2016,8337
15/11/2016,8287
16/11/2016,8387
17/11/2016,8337
18/11/2016,8370
19/11/2016,8320
20/11/2016,8420
21/11/2016,8370
23/11/2016,8320
24/11/2016,8270
25/11/2016,8220
26/11/2016,8170
27/11/2016,8120
28/11/2016,8070
29/11/2016,8020
30/11/2016,7970
01/12/2016,7920
02/12/2016,7962
03/12/2016,7912
04/12/2016,7862
06/12/2016,7887
07/12/2016,7837
08/12/2016,7787
09/12/2016,8112
10/12/2016,8062
11/12/2016,8012
12/12/2016,7962
13/12/2016,7912
