le, lx, se, sx, bw, bsdd, bsdu, total_profit
2, 1, 3, 2, 20, 1.00, 1.00, 9764.28
2, 1, 3, 2, 20, 1.00, 1.50, 9747.32
2, 1, 3, 2, 20, 1.50, 1.00, 9760.95
2, 1, 3, 2, 20, 1.50, 1.50, 9743.99
2, 1, 3, 2, 21, 1.00, 1.00, 9766.64
2, 1, 3, 2, 21, 1.00, 1.50, 9749.68
2, 1, 3, 2, 21, 1.50, 1.00, 9760.95
2, 1, 3, 2, 21, 1.50, 1.50, 9743.99
2, 1, 3, 2, 22, 1.00, 1.00, 9764.31
2, 1, 3, 2, 22, 1.00, 1.50, 9747.35
2, 1, 3, 2, 22, 1.50, 1.00, 9760.95
2, 1, 3, 2, 22, 1.50, 1.50, 9743.99
2, 1, 3, 2, 23, 1.00, 1.00, 9761.97
2, 1, 3, 2, 23, 1.00, 1.50, 9745.01
2, 1, 3, 2, 23, 1.50, 1.00, 9760.95
2, 1, 3, 2, 23, 1.50, 1.50, 9743.99
2, 1, 3, 2, 24, 1.00, 1.00, 9754.02
2, 1, 3, 2, 24, 1.00, 1.50, 9737.06
2, 1, 3, 2, 24, 1.50, 1.00, 9757.17
2, 1, 3, 2, 24, 1.50, 1.50, 9740.21
2, 1, 3, 2, 25, 1.00, 1.00, 9749.16
2, 1, 3, 2, 25, 1.00, 1.50, 9728.61
2, 1, 3, 2, 25, 1.50, 1.00, 9760.76
2, 1, 3, 2, 25, 1.50, 1.50, 9740.21
2, 1, 4, 1, 15, 1.00, 1.00, 9904.61
2, 1, 4, 1, 15, 1.00, 1.50, 9904.61
2, 1, 4, 1, 15, 1.50, 1.00, 9914.70
2, 1, 4, 1, 15, 1.50, 1.50, 9914.70
2, 1, 4, 1, 16, 1.00, 1.00, 9900.48
2, 1, 4, 1, 16, 1.00, 1.50, 9900.48
2, 1, 4, 1, 16, 1.50, 1.00, 9913.86
2, 1, 4, 1, 16, 1.50, 1.50, 9913.86
2, 1, 4, 1, 17, 1.00, 1.00, 9910.31
2, 1, 4, 1, 17, 1.00, 1.50, 9910.31
2, 1, 4, 1, 17, 1.50, 1.00, 9910.09
2, 1, 4, 1, 17, 1.50, 1.50, 9910.09
2, 1, 4, 1, 18, 1.00, 1.00, 9911.42
2, 1, 4, 1, 18, 1.00, 1.50, 9911.42
2, 1, 4, 1, 18, 1.50, 1.00, 9911.20
2, 1, 4, 1, 18, 1.50, 1.50, 9911.20
2, 1, 4, 1, 19, 1.00, 1.00, 9911.87
2, 1, 4, 1, 19, 1.00, 1.50, 9911.87
2, 1, 4, 1, 19, 1.50, 1.00, 9911.20
2, 1, 4, 1, 19, 1.50, 1.50, 9911.20
2, 1, 4, 1, 20, 1.00, 1.00, 9914.53
2, 1, 4, 1, 20, 1.00, 1.50, 9914.53
2, 1, 4, 1, 20, 1.50, 1.00, 9911.20
2, 1, 4, 1, 20, 1.50, 1.50, 9911.20
2, 1, 4, 1, 21, 1.00, 1.00, 9916.89
2, 1, 4, 1, 21, 1.00, 1.50, 9916.89
2, 1, 4, 1, 21, 1.50, 1.00, 9911.20
2, 1, 4, 1, 21, 1.50, 1.50, 9911.20
2, 1, 4, 1, 22, 1.00, 1.00, 9914.56
2, 1, 4, 1, 22, 1.00, 1.50, 9914.56
2, 1, 4, 1, 22, 1.50, 1.00, 9911.20
2, 1, 4, 1, 22, 1.50, 1.50, 9911.20
2, 1, 4, 1, 23, 1.00, 1.00, 9912.22
2, 1, 4, 1, 23, 1.00, 1.50, 9912.22
2, 1, 4, 1, 23, 1.50, 1.00, 9911.20
2, 1, 4, 1, 23, 1.50, 1.50, 9911.20
2, 1, 4, 1, 24, 1.00, 1.00, 9904.27
2, 1, 4, 1, 24, 1.00, 1.50, 9904.27
2, 1, 4, 1, 24, 1.50, 1.00, 9907.42
2, 1, 4, 1, 24, 1.50, 1.50, 9907.42
2, 1, 4, 1, 25, 1.00, 1.00, 9895.82
2, 1, 4, 1, 25, 1.00, 1.50, 9895.82
2, 1, 4, 1, 25, 1.50, 1.00, 9907.42
2, 1, 4, 1, 25, 1.50, 1.50, 9907.42
2, 1, 4, 2, 15, 1.00, 1.00, 9911.25
2, 1, 4, 2, 15, 1.00, 1.50, 9911.25
2, 1, 4, 2, 15, 1.50, 1.00, 9921.34
2, 1, 4, 2, 15, 1.50, 1.50, 9921.34
2, 1, 4, 2, 16, 1.00, 1.00, 9907.12
2, 1, 4, 2, 16, 1.00, 1.50, 9907.12
2, 1, 4, 2, 16, 1.50, 1.00, 9920.50
2, 1, 4, 2, 16, 1.50, 1.50, 9920.50
2, 1, 4, 2, 17, 1.00, 1.00, 9916.95
2, 1, 4, 2, 17, 1.00, 1.50, 9916.95
2, 1, 4, 2, 17, 1.50, 1.00, 9916.73
2, 1, 4, 2, 17, 1.50, 1.50, 9916.73
2, 1, 4, 2, 18, 1.00, 1.00, 9918.06
2, 1, 4, 2, 18, 1.00, 1.50, 9918.06
2, 1, 4, 2, 18, 1.50, 1.00, 9917.84
2, 1, 4, 2, 18, 1.50, 1.50, 9917.84
2, 1, 4, 2, 19, 1.00, 1.00, 9918.51
2, 1, 4, 2, 19, 1.00, 1.50, 9918.51
2, 1, 4, 2, 19, 1.50, 1.00, 9917.84
2, 1, 4, 2, 19, 1.50, 1.50, 9917.84
2, 1, 4, 2, 20, 1.00, 1.00, 9921.17
2, 1, 4, 2, 20, 1.00, 1.50, 9921.17
2, 1, 4, 2, 20, 1.50, 1.00, 9917.84
2, 1, 4, 2, 20, 1.50, 1.50, 9917.84
2, 1, 4, 2, 21, 1.00, 1.00, 9923.53
2, 1, 4, 2, 21, 1.00, 1.50, 9923.53
2, 1, 4, 2, 21, 1.50, 1.00, 9917.84
2, 1, 4, 2, 21, 1.50, 1.50, 9917.84
2, 1, 4, 2, 22, 1.00, 1.00, 9921.20
2, 1, 4, 2, 22, 1.00, 1.50, 9921.20
2, 1, 4, 2, 22, 1.50, 1.00, 9917.84
2, 1, 4, 2, 22, 1.50, 1.50, 9917.84
2, 1, 4, 2, 23, 1.00, 1.00, 9918.86
2, 1, 4, 2, 23, 1.00, 1.50, 9918.86
2, 1, 4, 2, 23, 1.50, 1.00, 9917.84
2, 1, 4, 2, 23, 1.50, 1.50, 9917.84
2, 1, 4, 2, 24, 1.00, 1.00, 9910.91
2, 1, 4, 2, 24, 1.00, 1.50, 9910.91
2, 1, 4, 2, 24, 1.50, 1.00, 9914.06
2, 1, 4, 2, 24, 1.50, 1.50, 9914.06
2, 1, 4, 2, 25, 1.00, 1.00, 9902.46
2, 1, 4, 2, 25, 1.00, 1.50, 9902.46
2, 1, 4, 2, 25, 1.50, 1.00, 9914.06
2, 1, 4, 2, 25, 1.50, 1.50, 9914.06
2, 1, 5, 1, 15, 1.00, 1.00, 9919.81
2, 1, 5, 1, 15, 1.00, 1.50, 9919.81
2, 1, 5, 1, 15, 1.50, 1.00, 9929.90
2, 1, 5, 1, 15, 1.50, 1.50, 9929.90
2, 1, 5, 1, 16, 1.00, 1.00, 9915.68
2, 1, 5, 1, 16, 1.00, 1.50, 9915.68
2, 1, 5, 1, 16, 1.50, 1.00, 9929.06
2, 1, 5, 1, 16, 1.50, 1.50, 9929.06
2, 1, 5, 1, 17, 1.00, 1.00, 9925.51
2, 1, 5, 1, 17, 1.00, 1.50, 9925.51
2, 1, 5, 1, 17, 1.50, 1.00, 9925.29
2, 1, 5, 1, 17, 1.50, 1.50, 9925.29
2, 1, 5, 1, 18, 1.00, 1.00, 9926.62
2, 1, 5, 1, 18, 1.00, 1.50, 9926.62
2, 1, 5, 1, 18, 1.50, 1.00, 9926.40
2, 1, 5, 1, 18, 1.50, 1.50, 9926.40
2, 1, 5, 1, 19, 1.00, 1.00, 9927.07
2, 1, 5, 1, 19, 1.00, 1.50, 9927.07
2, 1, 5, 1, 19, 1.50, 1.00, 9926.40
2, 1, 5, 1, 19, 1.50, 1.50, 9926.40
2, 1, 5, 1, 20, 1.00, 1.00, 9929.73
2, 1, 5, 1, 20, 1.00, 1.50, 9929.73
2, 1, 5, 1, 20, 1.50, 1.00, 9926.40
2, 1, 5, 1, 20, 1.50, 1.50, 9926.40
2, 1, 5, 1, 21, 1.00, 1.00, 9932.09
2, 1, 5, 1, 21, 1.00, 1.50, 9932.09
2, 1, 5, 1, 21, 1.50, 1.00, 9926.40
2, 1, 5, 1, 21, 1.50, 1.50, 9926.40
2, 1, 5, 1, 22, 1.00, 1.00, 9929.76
2, 1, 5, 1, 22, 1.00, 1.50, 9929.76
2, 1, 5, 1, 22, 1.50, 1.00, 9926.40
2, 1, 5, 1, 22, 1.50, 1.50, 9926.40
2, 1, 5, 1, 23, 1.00, 1.00, 9927.42
2, 1, 5, 1, 23, 1.00, 1.50, 9927.42
2, 1, 5, 1, 23, 1.50, 1.00, 9926.40
2, 1, 5, 1, 23, 1.50, 1.50, 9926.40
2, 1, 5, 1, 24, 1.00, 1.00, 9919.47
2, 1, 5, 1, 24, 1.00, 1.50, 9919.47
2, 1, 5, 1, 24, 1.50, 1.00, 9922.62
2, 1, 5, 1, 24, 1.50, 1.50, 9922.62
2, 1, 5, 1, 25, 1.00, 1.00, 9911.02
2, 1, 5, 1, 25, 1.00, 1.50, 9911.02
2, 1, 5, 1, 25, 1.50, 1.00, 9922.62
2, 1, 5, 1, 25, 1.50, 1.50, 9922.62
2, 1, 5, 2, 15, 1.00, 1.00, 9922.92
2, 1, 5, 2, 15, 1.00, 1.50, 9922.92
2, 1, 5, 2, 15, 1.50, 1.00, 9933.01
2, 1, 5, 2, 15, 1.50, 1.50, 9933.01
2, 1, 5, 2, 16, 1.00, 1.00, 9918.79
2, 1, 5, 2, 16, 1.00, 1.50, 9918.79
2, 1, 5, 2, 16, 1.50, 1.00, 9932.17
2, 1, 5, 2, 16, 1.50, 1.50, 9932.17
2, 1, 5, 2, 17, 1.00, 1.00, 9928.62
2, 1, 5, 2, 17, 1.00, 1.50, 9928.62
2, 1, 5, 2, 17, 1.50, 1.00, 9928.40
2, 1, 5, 2, 17, 1.50, 1.50, 9928.40
2, 1, 5, 2, 18, 1.00, 1.00, 9929.73
2, 1, 5, 2, 18, 1.00, 1.50, 9929.73
2, 1, 5, 2, 18, 1.50, 1.00, 9929.51
2, 1, 5, 2, 18, 1.50, 1.50, 9929.51
2, 1, 5, 2, 19, 1.00, 1.00, 9930.18
2, 1, 5, 2, 19, 1.00, 1.50, 9930.18
2, 1, 5, 2, 19, 1.50, 1.00, 9929.51
2, 1, 5, 2, 19, 1.50, 1.50, 9929.51
2, 1, 5, 2, 20, 1.00, 1.00, 9932.84
2, 1, 5, 2, 20, 1.00, 1.50, 9932.84
2, 1, 5, 2, 20, 1.50, 1.00, 9929.51
2, 1, 5, 2, 20, 1.50, 1.50, 9929.51
2, 1, 5, 2, 21, 1.00, 1.00, 9935.20
2, 1, 5, 2, 21, 1.00, 1.50, 9935.20
2, 1, 5, 2, 21, 1.50, 1.00, 9929.51
2, 1, 5, 2, 21, 1.50, 1.50, 9929.51
2, 1, 5, 2, 22, 1.00, 1.00, 9932.87
2, 1, 5, 2, 22, 1.00, 1.50, 9932.87
2, 1, 5, 2, 22, 1.50, 1.00, 9929.51
2, 1, 5, 2, 22, 1.50, 1.50, 9929.51
2, 1, 5, 2, 23, 1.00, 1.00, 9930.53
2, 1, 5, 2, 23, 1.00, 1.50, 9930.53
2, 1, 5, 2, 23, 1.50, 1.00, 9929.51
2, 1, 5, 2, 23, 1.50, 1.50, 9929.51
2, 1, 5, 2, 24, 1.00, 1.00, 9922.58
2, 1, 5, 2, 24, 1.00, 1.50, 9922.58
2, 1, 5, 2, 24, 1.50, 1.00, 9925.73
2, 1, 5, 2, 24, 1.50, 1.50, 9925.73
2, 1, 5, 2, 25, 1.00, 1.00, 9914.13
2, 1, 5, 2, 25, 1.00, 1.50, 9914.13
2, 1, 5, 2, 25, 1.50, 1.00, 9925.73
2, 1, 5, 2, 25, 1.50, 1.50, 9925.73
2, 2, 2, 1, 15, 1.00, 1.00, 9643.81
2, 2, 2, 1, 15, 1.00, 1.50, 9649.34
2, 2, 2, 1, 15, 1.50, 1.00, 9652.59
2, 2, 2, 1, 15, 1.50, 1.50, 9658.12
2, 2, 2, 1, 16, 1.00, 1.00, 9641.60
2, 2, 2, 1, 16, 1.00, 1.50, 9645.21
2, 2, 2, 1, 16, 1.50, 1.00, 9653.67
2, 2, 2, 1, 16, 1.50, 1.50, 9657.28
